journal	date	pmc_id
BMJ Open	2021-10-01	8438891
BMJ Open	2021-10-01	8438960
BMJ Open	2021-10-01	8444254
BMJ Open	2021-10-01	8442069
BMJ Open	2021-10-01	8449848
BMJ Open	2021-10-01	8441218
BMJ Open	2021-10-01	8444238
BMJ Open	2021-10-01	8444251
BMJ Open	2021-10-01	8438824
BMJ Open	2021-10-01	8441220
BMJ Open	2021-10-01	8442060
BMJ Open	2021-10-01	8444245
BMJ Open	2021-10-01	8438574
BMJ Open	2021-10-01	8444241
BMJ Open	2021-10-01	8438576
BMJ Open	2021-10-01	8438950
BMJ Open	2021-10-01	8461281
BMJ Open	2021-10-01	8460523
BMJ Open	2021-10-01	8451310
BMJ Open	2021-10-01	8458355
BMJ Open	2021-10-01	8458314
BMJ Open	2021-10-01	8458311
BMJ Open	2021-10-01	8458366
BMJ Open	2021-10-01	8451298
BMJ Open	2021-10-01	8449983
BMJ Open	2021-10-01	8449971
BMJ Open	2021-10-01	8451296
BMJ Open	2021-10-01	8451286
BMJ Open	2021-10-01	8451291
BMJ Open	2021-10-01	8458338
BMJ Open	2021-10-01	8449845
BMJ Open	2021-10-01	8449978
BMJ Open	2021-10-01	8461277
BMJ Open	2021-10-01	8458001
BMJ Open	2021-10-01	8458313
BMJ Open	2021-10-01	8449958
BMJ Open	2021-10-01	8458322
BMJ Open	2021-10-01	8451294
BMJ Open	2021-10-01	8460531
BMJ Open	2021-10-01	8449956
BMJ Open	2021-10-01	8458309
BMJ Open	2021-10-01	8479951
BMJ Open	2021-10-01	8479948
BMJ Open	2021-10-01	8488283
BMJ Open	2021-10-01	8483034
BMJ Open	2021-10-01	8479954
BMJ Open	2021-10-01	8487209
BMJ Open	2021-10-01	8487182
BMJ Open	2021-10-01	8487179
BMJ Open	2021-10-01	8480002
BMJ Open	2021-10-01	8487184
BMJ Open	2021-10-01	8487195
BMJ Open	2021-10-01	8488727
BMJ Open	2021-10-01	8477336
BMJ Open	2021-10-01	8483036
BMJ Open	2021-10-01	8488730
BMJ Open	2021-10-01	8487168
BMJ Open	2021-10-01	8480006
BMJ Open	2021-10-01	8478579
BMJ Open	2021-10-01	8479991
BMJ Open	2021-10-01	8479990
BMJ Open	2021-10-01	8477335
BMJ Open	2021-10-01	8487173
BMJ Open	2021-10-01	8488746
BMJ Open	2021-10-01	8483053
BMJ Open	2021-10-01	8480011
BMJ Open	2022-01-01	8499270
BMJ Open	2022-01-01	8499280
BMJ Open	2022-01-01	8493896
BMJ Open	2022-01-01	8493906
BMJ Open	2022-01-01	8493900
BMJ Open	2022-01-01	8496378
BMJ Open	2022-01-01	8491005
BMJ Open	2022-01-01	8491001
BMJ Open	2022-01-01	8507407
BMJ Open	2022-01-01	8499251
BMJ Open	2022-01-01	8493602
BMJ Open	2022-01-01	8496401
BMJ Open	2022-01-01	8491292
BMJ Open	2022-01-01	8496397
BMJ Open	2022-01-01	8499254
BMJ Open	2022-01-01	8499338
BMJ Open	2022-01-01	8491288
BMJ Open	2022-01-01	8491289
BMJ Open	2022-01-01	8499281
BMJ Open	2022-01-01	8493894
BMJ Open	2022-01-01	8504346
BMJ Open	2022-01-01	8491422
BMJ Open	2022-01-01	8496391
BMJ Open	2022-01-01	8493926
BMJ Open	2022-01-01	8493915
BMJ Open	2022-01-01	8522658
BMJ Open	2022-01-01	8506875
BMJ Open	2022-01-01	8515464
BMJ Open	2022-01-01	8506868
BMJ Open	2022-01-01	8506871
BMJ Open	2022-01-01	8522661
BMJ Open	2022-01-01	8506890
BMJ Open	2022-01-01	8522665
BMJ Open	2022-01-01	8520586
BMJ Open	2022-01-01	8513273
BMJ Open	2022-01-01	8513337
BMJ Open	2022-01-01	8559105
BMJ Open	2022-01-01	8506858
BMJ Open	2022-01-01	8506852
BMJ Open	2022-01-01	8520587
BMJ Open	2022-01-01	8513272
BMJ Open	2022-01-01	8506891
BMJ Open	2022-01-01	8506873
BMJ Open	2022-01-01	8513268
BMJ Open	2022-01-01	8506865
BMJ Open	2022-01-01	8506866
BMJ Open	2022-01-01	8515426
BMJ Open	2022-01-01	8506854
BMJ Open	2022-01-01	8522672
BMJ Open	2022-01-01	8520596
BMJ Open	2022-01-01	8532555
BMJ Open	2022-01-01	8524296
BMJ Open	2022-01-01	8532551
BMJ Open	2022-01-01	8529978
BMJ Open	2022-01-01	8524277
BMJ Open	2022-01-01	8527129
BMJ Open	2022-01-01	8524274
BMJ Open	2022-01-01	8524269
BMJ Open	2022-01-01	8527120
BMJ Open	2022-01-01	8524279
BMJ Open	2022-01-01	8532543
BMJ Open	2022-01-01	8523961
BMJ Open	2022-01-01	8524288
BMJ Open	2022-01-01	8524278
BMJ Open	2022-01-01	8529616
BMJ Open	2022-01-01	8532557
BMJ Open	2022-01-01	8527139
BMJ Open	2022-01-01	8529986
BMJ Open	2022-01-01	8543645
BMJ Open	2022-01-01	8532552
BMJ Open	2022-01-01	8529614
BMJ Open	2022-01-01	8543652
BMJ Open	2022-01-01	8527126
BMJ Open	2022-01-01	8532542
BMJ Open	2022-01-01	8543629
BMJ Open	2022-01-01	8562520
BMJ Open	2022-01-01	8559099
BMJ Open	2022-01-01	8562521
BMJ Open	2022-01-01	8559112
BMJ Open	2022-01-01	8561825
BMJ Open	2022-01-01	8561829
BMJ Open	2022-01-01	8562498
BMJ Open	2022-01-01	8557272
BMJ Open	2022-01-01	8559108
BMJ Open	2022-01-01	8562522
BMJ Open	2022-01-01	8551748
BMJ Open	2022-01-01	8559106
BMJ Open	2022-01-01	8557299
BMJ Open	2022-01-01	8559098
BMJ Open	2022-01-01	8559109
BMJ Open	2022-01-01	8552154
BMJ Open	2022-01-01	8559097
BMJ Open	2022-01-01	8549661
BMJ Open	2022-01-01	8552179
BMJ Open	2022-01-01	8552172
BMJ Open	2022-01-01	8557282
BMJ Open	2022-01-01	8557244
BMJ Open	2022-01-01	8547508
BMJ Open	2022-01-01	8547357
BMJ Open	2022-01-01	8552175
BMJ Open	2022-01-01	8572380
BMJ Open	2022-01-01	8573290
BMJ Open	2022-01-01	8573660
BMJ Open	2022-01-01	8572392
BMJ Open	2022-01-01	8573649
BMJ Open	2022-01-01	8572397
BMJ Open	2022-01-01	8572360
BMJ Open	2022-01-01	8572357
BMJ Open	2022-01-01	8572399
BMJ Open	2022-01-01	8572389
BMJ Open	2022-01-01	8578211
